pos,corr_resp,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fixation.started,Line1.started,Line2.started,Line3.started,Line4.started,fixation.stopped,Probe.started,key_resp_2.started,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.duration,Fixation.started,line1.started,line2.started,line3.started,line4.started,Fixation.stopped,probe.started,key_resp.started,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,
-50,x,0,0,0,0,,,,,14.587926399894059,15.581359799951315,15.581359799951315,15.581359799951315,15.581359799951315,15.596525099826977,16.579696799861267,16.579696799861267,x,1,1.2276739999651909,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,0,1,1,1,,,,,17.831503599882126,18.829933899920434,18.829933899920434,18.829933899920434,18.829933899920434,18.829933899920434,19.829596899915487,19.829596899915487,v,1,0.5199577000457793,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,0,2,2,2,,,,,20.381559599889442,21.379544199910015,21.379544199910015,21.379544199910015,21.379544199910015,21.379544199910015,22.379633999895304,22.379633999895304,c,1,0.533938400214538,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,0,3,3,3,,,,,22.947788199875504,23.930901099927723,23.930901099927723,23.930901099927723,23.930901099927723,23.946140199899673,24.94602209981531,24.94602209981531,z,1,0.6958458002191037,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,1,0,4,0,,,,,25.664320999989286,26.64764599991031,26.64764599991031,26.64764599991031,26.64764599991031,26.662731799995527,27.662645800039172,27.662645800039172,x,1,0.6853579001035541,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,1,1,5,1,,,,,28.380857199896127,29.379251400008798,29.379251400008798,29.379251400008798,29.379251400008798,29.379251400008798,30.37914519989863,30.37914519989863,v,1,0.4866241002455354,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,1,2,6,2,,,,,30.897412199992687,31.881212699925527,31.881212699925527,31.881212699925527,31.881212699925527,31.89592449995689,32.895562999881804,32.895562999881804,c,1,0.6182498002890497,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,1,3,7,3,,,,,33.547259599901736,34.545903199817985,34.545903199817985,34.545903199817985,34.545903199817985,34.545903199817985,35.54555649985559,35.54555649985559,z,1,0.43780039995908737,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,2,0,8,0,,,,,36.01367160002701,36.99712789990008,36.99712789990008,36.99712789990008,36.99712789990008,37.012195099843666,38.01216549985111,38.01216549985111,x,1,0.718119699973613,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,2,1,9,1,,,,,38.763680699979886,39.746772799873725,39.746772799873725,39.746772799873725,39.746772799873725,39.76190169993788,40.76198640000075,40.76198640000075,v,1,0.3858380001038313,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,2,2,10,2,,,,,41.18024909985252,42.163658999837935,42.163658999837935,42.163658999837935,42.163658999837935,42.17867329996079,43.178443799959496,43.178443799959496,c,1,0.32869540015235543,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,2,3,11,3,,,,,43.53020819998346,44.513316799886525,44.513316799886525,44.513316799886525,44.513316799886525,44.528475699946284,45.528493999969214,45.528493999969214,z,1,0.3163750001695007,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,3,0,12,0,,,,,45.863276900025085,46.84765679994598,46.84765679994598,46.84765679994598,46.84765679994598,46.861625799909234,47.861653900006786,47.861653900006786,x,1,0.25590540026314557,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,3,1,13,1,,,,,48.14665529993363,49.130009499844164,49.130009499844164,49.130009499844164,49.130009499844164,49.14488159981556,50.14491259981878,50.14491259981878,v,1,0.2569934001658112,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,3,2,14,2,,,,,50.4299117999617,51.428103799931705,51.428103799931705,51.428103799931705,51.428103799931705,51.428103799931705,52.42799280001782,52.42799280001782,c,1,0.2126468000933528,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,3,3,15,3,,,,,52.66270520002581,53.64624989987351,53.64624989987351,53.64624989987351,53.64624989987351,53.66132709989324,54.66130529996008,54.66130529996008,z,1,0.14917350001633167,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,4,0,16,0,,,,,54.82952719996683,55.812804099870846,55.812804099870846,55.812804099870846,55.812804099870846,55.8278091000393,56.828042699955404,56.828042699955404,x,1,0.2402445999905467,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,4,1,17,1,,,,,57.0959431999363,58.07979119988158,58.07979119988158,58.07979119988158,58.07979119988158,58.09459809982218,59.094516000011936,59.094516000011936,v,1,0.2306743001099676,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,4,2,18,2,,,,,59.346032599918544,60.32926869997755,60.32926869997755,60.32926869997755,60.32926869997755,60.34456689981744,61.344681199872866,61.344681199872866,c,1,0.168529300019145,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,4,3,19,3,,,,,61.546034399885684,62.529420299921185,62.529420299921185,62.529420299921185,62.529420299921185,62.54446919984184,63.54425989999436,63.54425989999436,z,1,0.2676963002886623,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,5,0,20,0,,,,,63.84588429983705,64.82928099995479,64.82928099995479,64.82928099995479,64.82928099995479,64.84421089990065,65.8441118998453,65.8441118998453,x,1,0.19261160003952682,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,5,1,21,1,,,,,66.06236199988052,67.04583449987695,67.04583449987695,67.04583449987695,67.04583449987695,67.06109309988096,68.06077439989895,68.06077439989895,v,1,0.2634672001004219,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,5,2,22,2,,,,,68.34556129993871,69.32890389999375,69.32890389999375,69.32890389999375,69.32890389999375,69.3440981998574,70.34395969985053,70.34395969985053,c,1,0.2378817000426352,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,5,3,23,3,,,,,70.61220450000837,71.59530019992962,71.59530019992962,71.59530019992962,71.59530019992962,71.61058719991706,72.61036139982753,72.61036139982753,z,1,0.2657629002351314,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-50,x,6,0,24,0,,,,,72.89543129992671,73.87922560004517,73.87922560004517,73.87922560004517,73.87922560004517,73.8936675998848,74.89378679986112,74.89378679986112,x,1,0.26994780031964183,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
150,v,6,1,25,1,,,,,75.19502809992991,76.1787192998454,76.1787192998454,76.1787192998454,76.1787192998454,76.19366939994507,77.19360259990208,77.19360259990208,v,1,0.26320520020090044,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
50,c,6,2,26,2,,,,,77.47858999995515,78.46185890003107,78.46185890003107,78.46185890003107,78.46185890003107,78.47691860003397,79.47687429981306,79.47687429981306,c,1,0.25884320004843175,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
-150,z,6,3,27,3,,,,,79.76175750000402,80.74496509996243,80.74496509996243,80.74496509996243,80.74496509996243,80.76022169995122,81.76014549983665,81.76014549983665,z,1,0.2936004002112895,None,,,,,,,,,,,,,604757,001,2023-10-09_14h53.34.698,Sequential Learning,2023.1.3,59.92139517100053,
